lon,lat
12.290312733,51.3928518179999
12.3797631769999,51.3439677479999
12.262831686,51.3479447719999
12.395376012,51.341092005
12.356038794,51.3414548789999
12.4522194269999,51.3503363629999
12.342630678,51.3386969479999
12.371337497,51.3444515959999
12.301777438,51.3426613239999
12.345039223,51.3751758249999
12.344869448,51.339189423
12.2639955789999,51.316516157
12.366776516,51.3145500879999
12.394494396,51.354730508
12.373426083,51.314811763
12.2812644629999,51.3833837139999
12.393016523,51.3344664279999
12.390745309,51.347168582
12.298401177,51.343021294
12.395304634,51.332103132
12.3950099169999,51.332142543
12.259254946,51.385617126
12.424957009,51.35219828
12.391406477,51.3474395949999
12.38043225,51.344123095
12.4102874379999,51.316038077
12.369305589,51.344150782
12.42193733,51.307708599
12.369298267,51.3761028939999
12.282947907,51.34438661
12.381590851,51.314955456
12.4264945099999,51.3517985499999
12.422405461,51.3517118919999
12.369340782,51.3441577319999
12.41373403,51.3134451139999
12.3868761119999,51.3456833529999
12.265578974,51.385175134
12.417594467,51.3108208419999
12.3941871799999,51.336198928
12.392593886,51.3340981679999
12.319902484,51.339479402
12.33636448,51.3354168139999
12.378246442,51.3148397679999
12.3950755899999,51.3321005029999
12.357644454,51.341803953
12.342497021,51.338356922
12.321923498,51.338995398
12.372979471,51.301421664
12.4793140509999,51.352018473
12.3448604119999,51.3391874679999
12.327307926,51.3375007129999
12.3514045889999,51.375164855
12.399906686,51.327005348
12.3576982819999,51.3418138039999
12.3191567489999,51.3003667309999
12.353599673,51.340905751
12.371144706,51.344433338
12.283773253,51.34432146
12.3618738829999,51.342481511
12.314307862,51.34054583
12.39526463,51.3321302689999
12.404532139,51.3209947009999
12.3228585469999,51.338776199
12.37093546,51.344099086
12.3868801259999,51.345684816
12.398044259,51.366952044
12.3448419939999,51.339183485
12.3729677109999,51.3014240469999
12.380161634,51.344235208
12.373506415,51.314813123
12.394195542,51.350724415
12.271010711,51.3176084309999
12.389949872,51.3465569319999
12.406599159,51.3140972389999
12.3929467189999,51.344856395
12.3804608349999,51.3441112459999
12.3770744799999,51.3445118309999
12.3982541019999,51.3529338709999
12.345036274,51.375175831
12.391406477,51.3474395949999
12.377058641,51.344510153
12.2472598519999,51.3181404409999
12.39502041,51.342752472
12.430087154,51.3535584919999
12.4576667269999,51.3503555229999
12.403911853,51.321712666
12.391303493,51.34742406
12.4608677389999,51.367267282
12.392596528,51.334101238
12.331941989,51.335913718
12.388275833,51.346273942
12.301551604,51.29356691
12.395356561,51.339226887
12.331940765,51.3359135689999
12.254650541,51.281158879
12.3799363249999,51.375796403
12.3662226739999,51.3434102049999
12.3778950939999,51.4220543989999
12.447088269,51.350275171
12.3600896509999,51.3421709389999
12.401683907,51.3242416579999
12.430435869,51.3513710209999
12.4057703949999,51.319841195
12.331936643,51.335913067
12.4219033079999,51.351605087
12.406057769,51.3139170469999
12.3855425579999,51.376140736
12.40149148,51.324217673
12.285828276,51.330942579
12.373484412,51.3149249299999
12.3996367739999,51.3622118199999
12.479455409,51.352031066
12.3924506969999,51.34542221
12.3981905139999,51.366983699
12.3949581129999,51.338990864
12.426646197,51.303488836
12.38368531,51.343858808
12.441614124,51.3508237269999
12.285815174,51.3309369409999
12.2778575839999,51.319048178
12.391860242,51.3463820639999
12.376510471,51.314831517
12.399670901,51.328113917
12.414478297,51.3129696999999
12.381596948,51.343359499
12.389955401,51.346566252
12.39524858,51.341120122
12.395330263,51.339197937
12.405425875,51.319922702
12.42665729,51.303483041
12.285831031,51.3309437639999
12.389955496,51.3465664109999
12.344861039,51.339187604
12.3924506969999,51.34542221
12.353385294,51.341147188
12.3448830409999,51.3391923619999
12.394888068,51.342758684
12.4266368889999,51.303493699
12.3948473509999,51.3431838939999
12.3473490179999,51.339605374
12.394985432,51.3321579289999
12.394430363,51.336792283
12.43506348,51.351118479
12.3732299119999,51.314055285
12.4010064999999,51.342530414
12.294438738,51.358869241
12.3710647389999,51.338235928
12.384331589,51.3424332499999
12.365438206,51.3623953809999
12.3657125049999,51.363471804
12.406050963,51.34633213
12.40018041,51.3354193019999
12.373690671,51.320584207
12.373810174,51.3431262399999
12.378966795,51.345676931
12.3641987449999,51.3444165499999
12.358969954,51.358838665
12.388011354,51.338178509
12.370575591,51.361392602
12.384938672,51.33836067
12.388578601,51.325916822
12.4116965189999,51.342675661
12.376100393,51.348283352
12.365270604,51.323642311
12.417489344,51.316065977
12.363894732,51.332210375
12.444493346,51.326442518
12.335876084,51.3192459859999
12.365587482,51.35918281
12.404277486,51.3036806349999
12.368356733,51.361788011
12.327178489,51.3296388529999
12.389904908,51.3445828099999
12.370043554,51.331710931
12.3219219629999,51.30381242
12.3733708979999,51.310658324
12.445673183,51.351599874
12.396368062,51.3102427359999
12.325358266,51.345018883
12.3504934409999,51.3325693669999
12.414584121,51.3240681529999
12.262856886,51.347866803
12.376807393,51.321736584
12.334200042,51.3193647339999
12.400445766,51.3458225259999
12.40097618,51.3078564719999
12.327646632,51.3413583789999
12.376534132,51.348389287
12.3769063569999,51.3566467579999
12.335711137,51.322140109
12.3768350599999,51.3462158669999
